Date Scraped,Title,news_summary,news_card_image,Date Published,Link,Publication,Author,text,id,predicted_category,similarity,cluster,cluster_size
2025-05-12,"british woman scammed out of $22,800 after being tricked into believing she was in a relationship with dr chris brown",‘he told me he loved me and wanted us to marry.’,https://images.7news.com.au/publication/C-18661199/ca05bd36cea3d26adc963f36616f30e52e675188-16x9-x0y0w1280h720.jpg,2025-05-12 9:16 AM,https://7news.com.au/sunrise/lisa-nock-44-scammed-out-of-22800-after-being-tricked-she-was-in-a-relationship-with-dr-chris-brown--c-18661199,7news.com.au,caleb taylor,"british woman scammed out of $22,800 after being tricked into believing she was in a relationship with dr chris brown 

 ‘he told me he loved me and wanted us to marry.’",113,music,0.544862687587738,1,412
2025-05-12,matt canavan running for nationals leader,nil,"https://static.ffx.io/images/$width_800,$height_450/t_crop_fill/q_86,f_jpg/2066244ef623b54fb526462d13b3083e50be67ab",2025-05-12 8:56 AM,https://www.smh.com.au/national/matt-canavan-running-for-nationals-leader-20250512-p5lycp.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,nil,"matt canavan running for nationals leader 

 ",114,politics,0.45039650797843933,1,412
2025-05-12,two people killed in fatal crash 20km from melbourne cbd,nil,"https://static.ffx.io/images/$width_800,$height_450/t_crop_fill/q_86,f_jpg/53d9f0962dcc732d9a8a6edd22a0109c8ae1c01f",2025-05-12 8:54 AM,https://www.smh.com.au/national/two-people-killed-in-fatal-crash-20km-from-melbourne-cbd-20250512-p5lyco.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,nil,"two people killed in fatal crash 20km from melbourne cbd 

 ",115,sports,0.5283855199813843,1,412
2025-05-12,after losing his fingers and toes this 85yo found a way to keep rock climbing | abc news,nil,,2025-05-12 8:31 AM,https://www.youtube.com/watch?v=cnRvmtp_cZc,abc news (australia),abc news (australia),"after losing his fingers and toes this 85yo found a way to keep rock climbing | abc news 

 ",116,lifestyle,0.5297977328300476,1,412
2025-05-12,mother’s day horror: teens mourn mum from hospital as five killed in road tragedies,nil,"https://static.ffx.io/images/$zoom_0.8877,$multiply_0.7554,$ratio_1.777778,$width_1059,$x_0,$y_109/t_crop_custom/q_86,f_auto/5aa7400083a9fd237fe5dc3eabc915d963a129ff",2025-05-12 8:30 AM,https://www.smh.com.au/national/victoria/mother-s-day-horror-teens-mourn-mum-from-hospital-as-five-killed-in-road-tragedies-20250512-p5lybp.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,cassandra morgan,"mother’s day horror: teens mourn mum from hospital as five killed in road tragedies 

 ",117,politics,0.5206449031829834,1,412
2025-05-12,"putin proposes direct peace talks, zelensky cautious",nil,,2025-05-12 8:22 AM,https://www.youtube.com/watch?v=3aIfzz-J3t8,the australian,the australian,"putin proposes direct peace talks, zelensky cautious 

 ",118,politics,0.4649498462677002,1,412
2025-05-12,pope leo’s brother speaks exclusively with nine news | 9 news australia,nil,,2025-05-12 8:15 AM,https://www.youtube.com/watch?v=IFI72LZxja0,9news australia,9 news australia,"pope leo’s brother speaks exclusively with nine news | 9 news australia 

 ",119,politics,0.48172295093536377,0,32
2025-05-12,keep your hair hydrated and shiny all winter long: 6 best haircare products from amazon australia,‘better than any high-end salon conditioner i’ve used.’,https://images.7news.com.au/publication/C-18624448/4492c2cfe74e5bdeb17f7df3897d04d475543eb4-16x9-x0y0w1280h720.jpg,2025-05-12 8:05 AM,https://7news.com.au/best-picks/keep-your-hair-hydrated-and-shiny-all-winter-long-6-best-haircare-products-from-amazon-australia--c-18624448,7news.com.au,olivia scott,"keep your hair hydrated and shiny all winter long: 6 best haircare products from amazon australia 

 ‘better than any high-end salon conditioner i’ve used.’",120,lifestyle,0.5373682975769043,1,412
2025-05-12,chinese brand apologies to buyers after halving ev's power via remote update,chinese brand xiaomi says sorry to customers after it limited the performance of its ev super sedan via ota updates without telling them.,https://images.7news.com.au/publication/C-18661162/00680c1ba56c8e7a7fd65335d6c4147b1483e901-16x9-x0y139w2672h1503.jpg,2025-05-12 8:01 AM,https://7news.com.au/motoring/chinese-brand-apologies-to-buyers-after-halving-evs-power-via-remote-update-c-18661162,7news.com.au,damion smy,"chinese brand apologies to buyers after halving ev's power via remote update 

 chinese brand xiaomi says sorry to customers after it limited the performance of its ev super sedan via ota updates without telling them.",121,sports,0.5906178951263428,1,412
2025-05-12,pope leo vs china,nil,,2025-05-12 7:54 AM,https://www.youtube.com/watch?v=axyfUFu6K9E,the australian,the australian,"pope leo vs china 

 ",122,politics,0.5398426055908203,0,32
2025-05-12,prince harry’s doorbell camera blunder | 9 news australia,nil,,2025-05-12 8:03 AM,https://www.youtube.com/watch?v=g9G_9mxqE8U,9news australia,9 news australia,"prince harry’s doorbell camera blunder | 9 news australia 

 ",123,politics,0.5235567092895508,1,412
2025-05-12,"meat prices could skyrocket, as victorian farmers struggle with drought | 9 news australia",nil,,2025-05-12 8:03 AM,https://www.youtube.com/watch?v=9y-ErhgqjJU,9news australia,9 news australia,"meat prices could skyrocket, as victorian farmers struggle with drought | 9 news australia 

 ",124,finance,0.4833555817604065,1,412
2025-05-12,macquarie bank sacked dozens of staff members over inappropriate behaviour | 9 news australia,nil,,2025-05-12 7:53 AM,https://www.youtube.com/watch?v=6plUHrRz-fQ,9news australia,9 news australia,"macquarie bank sacked dozens of staff members over inappropriate behaviour | 9 news australia 

 ",125,finance,0.472857266664505,1,412
2025-05-12,australia news live: canavan says nationals ‘need a shake-up’ as party prepares for leadership ballot; albanese to announce new ministry,nil,https://i.guim.co.uk/img/media/8cd9898f4e01321190c7fcd9b99f97519003ca3f/277_0_5000_4000/master/5000.jpg?width=460&amp;quality=85&amp;auto=format&amp;fit=max&amp;s=c862077e0ec7d181dc3e0047f1474519,2025-05-12 8:44 AM,https://www.theguardian.com/australia-news/live/2025/may/12/australia-news-live-nationals-leadership-labor-cabinet-ministers-anthony-albanese-ed-husic-liberal-sussan-ley-angus-taylor-ntwnfb,australia news | the guardian,stephanie convery,"australia news live: canavan says nationals ‘need a shake-up’ as party prepares for leadership ballot; albanese to announce new ministry 

 ",126,politics,0.404958039522171,1,412
2025-05-12,ollie wines and partner olivia announce they are expecting a baby boy,‘couldn’t love this more.’,https://images.7news.com.au/publication/C-18661084/e0a6786378815b5abed581e0d41d8efd092ecaa0-16x9-x0y0w1280h720.jpg,2025-05-12 7:48 AM,https://7news.com.au/sport/afl/ollie-wines-and-partner-olivia-announce-they-are-expecting-a-baby-boy-c-18661084,7news.com.au,digital staff,"ollie wines and partner olivia announce they are expecting a baby boy 

 ‘couldn’t love this more.’",127,music,0.5434536933898926,1,412
2025-05-12,"two people killed in head-on collision in clayton south, melbourne",road closures are in place and several bus routes have been impacted.,https://images.7news.com.au/publication/C-18660788/12a6d28a551daeecd7158345552e1bac80f3ceab-16x9-x0y0w1280h720.jpg,2025-05-12 7:38 AM,https://7news.com.au/news/two-people-killed-in-head-on-collision-in-clayton-south-melbourne--c-18660788,7news.com.au,molly magennis,"two people killed in head-on collision in clayton south, melbourne 

 road closures are in place and several bus routes have been impacted.",128,sports,0.5294221639633179,1,412
2025-05-12,"brisbane news live: nine seats still too close to call, with brisbane division on knife-edge",nil,"https://static.ffx.io/images/$zoom_0.387,$multiply_0.7554,$ratio_1.777778,$width_1059,$x_0,$y_0/t_crop_custom/q_86,f_auto/9dec9db96cef93083e6aadcc16e88dadb4c0223d",2025-05-12 7:23 AM,https://www.smh.com.au/national/queensland/brisbane-news-live-nine-seats-still-too-close-to-call-with-brisbane-division-on-knife-edge-20250509-p5lxyt.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,nil,"brisbane news live: nine seats still too close to call, with brisbane division on knife-edge 

 ",129,politics,0.4588482975959778,1,412
2025-05-12,women living with hiv suffer stigma and setbacks from late diagnoses | abc news,nil,,2025-05-12 7:30 AM,https://www.youtube.com/watch?v=gTAOpmECsvQ,abc news (australia),abc news (australia),"women living with hiv suffer stigma and setbacks from late diagnoses | abc news 

 ",130,lifestyle,0.5211880803108215,1,412
2025-05-12,hamas to release american-israeli hostage ahead of trump’s middle east visit | abc news,nil,,2025-05-12 7:27 AM,https://www.youtube.com/watch?v=kgTimRaezyk,abc news (australia),abc news (australia),"hamas to release american-israeli hostage ahead of trump’s middle east visit | abc news 

 ",131,politics,0.4972535967826843,1,412
2025-05-12,india spruiks achievements in strikes against pakistani targets | abc news,nil,,2025-05-12 7:02 AM,https://www.youtube.com/watch?v=58cuab1CtaY,abc news (australia),abc news (australia),"india spruiks achievements in strikes against pakistani targets | abc news 

 ",132,sports,0.4600130319595337,1,412
2025-05-12,liberals and nationals prepare for key leadership votes | 9 news australia,nil,,2025-05-12 7:30 AM,https://www.youtube.com/watch?v=jc7MeaKZFYk,9news australia,9 news australia,"liberals and nationals prepare for key leadership votes | 9 news australia 

 ",133,politics,0.38717564940452576,1,412
2025-05-12,"morning mail: gina rinehart’s culture of praise, zelenskyy invites putin to peace talks, drought hurts farmers",nil,https://i.guim.co.uk/img/media/485485789037cb1974dd7f51c34ffa88e20cf288/485_0_1875_1500/master/1875.jpg?width=460&amp;quality=85&amp;auto=format&amp;fit=max&amp;s=0b3506afbb09eb670474d870e9735740,2025-05-12 7:02 AM,https://www.theguardian.com/australia-news/2025/may/12/morning-mail-monday-ntwnfb,australia news | the guardian,paul gallagher,"morning mail: gina rinehart’s culture of praise, zelenskyy invites putin to peace talks, drought hurts farmers 

 ",134,politics,0.4234883189201355,1,412
2025-05-12,"australia news live: coalition mps jostle for leadership, victoria cuts public school funding",nil,"https://static.ffx.io/images/$zoom_0.2702,$multiply_0.7554,$ratio_1.777778,$width_1059,$x_21,$y_0/t_crop_custom/q_86,f_auto/d474c63eee858e7118bd8ebee213e0733cbd5bd8",2025-05-12 8:34 AM,https://www.smh.com.au/national/australia-news-live-coalition-mps-jostle-for-leadership-victoria-cuts-public-school-funding-20250512-p5lyb6.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,ben cubby,"australia news live: coalition mps jostle for leadership, victoria cuts public school funding 

 ",135,politics,0.38947853446006775,1,412
2025-05-12,disturbing texts in ‘body box’ death,the texts allegedly sent by a man pretending to be the woman he murdered before her decomposing body was found inside a large box on an apartment balcony have been detailed in court.,https://content.api.news/v3/images/bin/c1a87c41e65b0a49feb7e1219272a3c7?width=320,2025-05-12 7:09 AM,https://www.news.com.au/national/queensland/courts-law/anchun-keeping-me-company-sorry-to-trouble-you-mans-alleged-disturbing-texts-in-body-box-murder-trial/news-story/83579dd76a22af5e3ed18dbf25071e9a?from=rss-basic,rss news.com.au — australia’s #1 news site | national news,nil,"disturbing texts in ‘body box’ death 

 the texts allegedly sent by a man pretending to be the woman he murdered before her decomposing body was found inside a large box on an apartment balcony have been detailed in court.",136,politics,0.5954872369766235,1,412
2025-05-12,shock new contender emerges in lib battle,a shock new contender has emerged in the battle to be the next liberal leader just hours ahead of a crucial vote that will decide the future of the party.,https://content.api.news/v3/images/bin/5a6cb09b524360fc907cff826ac261ab?width=320,2025-05-12 8:41 AM,https://www.news.com.au/national/federal-election/embarrassing-fail-haunting-angus-taylor/news-story/fd7db697aba55364a81737eed1964858?from=rss-basic,rss news.com.au — australia’s #1 news site | national news,nil,"shock new contender emerges in lib battle 

 a shock new contender has emerged in the battle to be the next liberal leader just hours ahead of a crucial vote that will decide the future of the party.",137,politics,0.46027517318725586,1,412
2025-05-12,zelenskyy challenges putin to meet him in person and end ukraine war | 9 news australia,nil,,2025-05-12 6:42 AM,https://www.youtube.com/watch?v=5sEQvRQcfco,9news australia,9 news australia,"zelenskyy challenges putin to meet him in person and end ukraine war | 9 news australia 

 ",138,politics,0.48081088066101074,1,412
2025-05-12,"mother killed and five others injured in horrific collision in trafalgar, victoria","police say a driver failed to heed a stop sign, causing the deadly collision.",https://images.7news.com.au/publication/C-18660550/c15fdc742675f2f0cb071753ee66d7e9c7949c2a-16x9-x0y0w1280h720.jpg,2025-05-12 6:48 AM,https://7news.com.au/news/mother-killed-and-five-others-injured-in-horrific-collision-in-trafalgar-victoria--c-18660550,7news.com.au,molly magennis,"mother killed and five others injured in horrific collision in trafalgar, victoria 

 police say a driver failed to heed a stop sign, causing the deadly collision.",139,politics,0.5447380542755127,1,412
2025-05-12,woman killed in two car crash in victoria,nil,"https://static.ffx.io/images/$width_800,$height_450/t_crop_fill/q_86,f_jpg/701a6331cb957991bcc1afe979474e45e122996e",2025-05-12 6:28 AM,https://www.smh.com.au/national/woman-killed-in-two-car-crash-in-victoria-20250512-p5lybc.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,nil,"woman killed in two car crash in victoria 

 ",140,politics,0.5280935764312744,1,412
2025-05-12,zelenskyy accepts trump’s demand to meet putin for ukraine talks | abc news,nil,,2025-05-12 6:39 AM,https://www.youtube.com/watch?v=QHGXgc9LUtA,abc news (australia),abc news (australia),"zelenskyy accepts trump’s demand to meet putin for ukraine talks | abc news 

 ",141,politics,0.47732818126678467,1,412
2025-05-12,pope leo's brother speaks exclusively; coalition's leadership race wildcard | 9 news australia,nil,,2025-05-12 6:20 AM,https://www.youtube.com/watch?v=g3XvEFv0vF4,9news australia,9 news australia,"pope leo's brother speaks exclusively; coalition's leadership race wildcard | 9 news australia 

 ",142,politics,0.44033780694007874,0,32
2025-05-12,"the dramatic press release, broken friendship and luxe listings drama",nil,"https://static.ffx.io/images/$zoom_1,$multiply_0.7554,$ratio_1.777778,$width_1059,$x_28,$y_117/t_crop_custom/q_86,f_auto/e4f647c6b80935be68bcd493a91c7fb4f18bb72d",2025-05-12 5:00 AM,https://www.smh.com.au/cbd/the-dramatic-press-release-broken-friendship-and-luxe-listings-drama-20250511-p5ly9l.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,"stephen brook, kishor napier-raman","the dramatic press release, broken friendship and luxe listings drama 

 ",143,music,0.47236156463623047,1,412
2025-05-12,perth man supports teen with autism to launch game-changing business,nil,"https://static.ffx.io/images/$zoom_1.1766666666666667,$multiply_0.7554,$ratio_1.777778,$width_1059,$x_0,$y_231/t_crop_custom/q_86,f_auto/ab39415a45eb24330fd0d854ffe02c4a56358c1ebb9828f3c7fe017287e95504",2025-05-12 5:00 AM,https://www.smh.com.au/national/western-australia/perth-man-supports-teen-with-autism-to-launch-game-changing-business-20250509-p5lxz5.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,nil,"perth man supports teen with autism to launch game-changing business 

 ",144,music,0.5210782885551453,1,412
2025-05-12,nadine lost her brother at a young age. she’s made it her life’s work to prevent other deaths,nil,"https://static.ffx.io/images/$zoom_0.1765,$multiply_0.7554,$ratio_1.777778,$width_1059,$x_0,$y_46/t_crop_custom/q_86,f_auto/1427bef93c67a3b306da5a71b04253eda17d863b",2025-05-12 5:00 AM,https://www.smh.com.au/national/nsw/nadine-lost-her-brother-at-a-young-age-she-s-made-it-her-life-s-work-to-prevent-other-deaths-20250511-p5ly85.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,penry buckley,"nadine lost her brother at a young age. she’s made it her life’s work to prevent other deaths 

 ",145,lifestyle,0.5499600172042847,1,412
2025-05-12,this perth teen had half his brain removed. now he’s chasing paralympic gold,nil,"https://static.ffx.io/images/$zoom_0.5171,$multiply_0.7554,$ratio_1.777778,$width_1059,$x_0,$y_0/t_crop_custom/q_86,f_auto/9287098ac7ac7066d16b9a0049f8450419e514e20174d5c6d821d1478031d8c7",2025-05-12 5:00 AM,https://www.smh.com.au/national/western-australia/this-perth-teen-had-half-his-brain-removed-now-he-s-chasing-paralympic-gold-20250507-p5lx5t.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,sarah brookes,"this perth teen had half his brain removed. now he’s chasing paralympic gold 

 ",146,sports,0.5013284683227539,1,412
2025-05-12,‘a heaviness in my heart’: this wa mum lives on $441 a week,nil,"https://static.ffx.io/images/$zoom_0.22275978123685314,$multiply_0.7554,$ratio_1.777778,$width_1059,$x_0,$y_67/t_crop_custom/q_86,f_auto/2d3867764da9ef4f7eda27edf45869faae909f9873773e5e852c4405a55ecfd6",2025-05-12 5:00 AM,https://www.smh.com.au/national/western-australia/a-heaviness-in-my-heart-this-wa-mum-lives-on-441-a-week-20250506-p5lwym.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,alex hughes,"‘a heaviness in my heart’: this wa mum lives on $441 a week 

 ",147,lifestyle,0.5566883087158203,1,412
2025-05-12,the light rail was great – until it opened their backyards to the world,nil,"https://static.ffx.io/images/$zoom_1,$multiply_0.7554,$ratio_1.777778,$width_1059,$x_689,$y_222/t_crop_custom/q_86,f_auto/7342ba7746c9f03128d31330dc37aa9b4fa3d6de",2025-05-12 5:00 AM,https://www.smh.com.au/national/nsw/the-light-rail-was-great-until-it-opened-their-backyards-to-the-world-20250506-p5lwyh.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,anthony segaert,"the light rail was great – until it opened their backyards to the world 

 ",148,politics,0.5221113562583923,1,412
2025-05-12,love free parking? don’t get too comfortable,nil,"https://static.ffx.io/images/$zoom_0.15294627383015597,$multiply_0.7554,$ratio_1.777778,$width_1059,$x_0,$y_84/t_crop_custom/q_86,f_auto/e475f93bbfc99d0d21c1c9ab4291c2a55764840f",2025-05-12 5:00 AM,https://www.smh.com.au/national/victoria/love-free-parking-don-t-get-too-comfortable-20250430-p5lvbg.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,sophie aubrey,"love free parking? don’t get too comfortable 

 ",149,music,0.5460931062698364,1,412
2025-05-12,lorna macgregor on sliding-doors moments – and why she shouldn’t have led lifeline wa’s battle for survival,nil,"https://static.ffx.io/images/$zoom_0.3165,$multiply_0.7554,$ratio_1.777778,$width_1059,$x_99,$y_0/t_crop_custom/q_86,f_auto/80897bb41468f9f7076ff64f83a1728012f575718c1fdbc29b85858709094f15",2025-05-12 5:00 AM,https://www.smh.com.au/national/western-australia/lorna-macgregor-on-sliding-doors-moments-and-why-she-shouldn-t-have-led-lifeline-wa-s-battle-for-survival-20250423-p5ltre.html?ref=rss&utm_medium=rss&utm_source=rss_national,sydney morning herald - national,jesinta burton,"lorna macgregor on sliding-doors moments – and why she shouldn’t have led lifeline wa’s battle for survival 

 ",150,politics,0.5597854852676392,1,412
2025-05-12,"‘getting barer by the day’: drought conditions in sa and victoria worsen, leaving rural communities in the dust",nil,https://i.guim.co.uk/img/media/b109db465b85c4dd3641f24398c2b248665a151c/273_544_3240_2592/master/3240.jpg?width=460&amp;quality=85&amp;auto=format&amp;fit=max&amp;s=cdeb2eeff2936126b4315c8837b267c0,2025-05-12 1:00 AM,https://www.theguardian.com/australia-news/2025/may/12/getting-barer-by-the-day-drought-conditions-in-sa-and-victoria-worsen-leaving-rural-communities-in-the-dust,australia news | the guardian,sandra godwin,"‘getting barer by the day’: drought conditions in sa and victoria worsen, leaving rural communities in the dust 

 ",151,politics,0.4949818253517151,1,412
2025-05-12,gladys: a musical affair review – berejiklian parody show is too flimsy to be funny,nil,https://i.guim.co.uk/img/media/ae11667c9b41101b316c993b834aec8964c8216e/845_7_1538_1232/master/1538.jpg?width=460&amp;quality=85&amp;auto=format&amp;fit=max&amp;s=23a847890545cdfadce5ba9f08f03326,2025-05-12 1:00 AM,https://www.theguardian.com/stage/2025/may/12/gladys-a-musical-affair-review-berejiklian-parody-show-is-too-flimsy-to-be-funny,australia news | the guardian,cassie tongue,"gladys: a musical affair review – berejiklian parody show is too flimsy to be funny 

 ",152,politics,0.5385802388191223,1,412
2025-05-12,"how charlie discovered that time wealth can be the key to a slower, happier life | modern mind",nil,https://i.guim.co.uk/img/media/360b7e2efb8436f2e8e1881f695e49988e7710eb/813_0_6141_4912/master/6141.jpg?width=460&amp;quality=85&amp;auto=format&amp;fit=max&amp;s=3c0e04ef2a10d2531debc52649b983a2,2025-05-12 1:00 AM,https://www.theguardian.com/commentisfree/2025/may/11/how-charlie-discovered-that-time-wealth-can-be-the-key-to-a-slower-happier-life,australia news | the guardian,amanda wallis and gaynor parkin,"how charlie discovered that time wealth can be the key to a slower, happier life | modern mind 

 ",153,lifestyle,0.47125691175460815,1,412
2025-05-12,gina: mythmaking – episode 7 - podcast,nil,https://i.guim.co.uk/img/media/ec923f5b055f29b866b564f0dcd3a3bef9150c45/313_0_1875_1500/master/1875.jpg?width=460&amp;quality=85&amp;auto=format&amp;fit=max&amp;s=64ff5ad98011b9eb804bf42cf999125d,2025-05-12 1:00 AM,https://www.theguardian.com/news/audio/2025/may/12/gina-mythmaking-episode-7,australia news | the guardian,"presented by sarah martin. series producer joe koning. additional production by jess hamilton, camilla hannan and luca ittimani. sound design by joe koning. the executive producer is shelley hepworth. head of audio: miles martignoni","gina: mythmaking – episode 7 - podcast 

 ",154,music,0.5166175365447998,1,412
2025-05-12,the kindness of strangers: i was homeless and addicted to heroin. joanne saved my life,nil,https://i.guim.co.uk/img/media/83eb65c45383e2f314b4c29d3fcd7c4a247a488b/0_0_2500_2000/master/2500.jpg?width=460&amp;quality=85&amp;auto=format&amp;fit=max&amp;s=1817d23c89da51f2f1d4b17500e31c78,2025-05-12 1:00 AM,https://www.theguardian.com/lifeandstyle/2025/may/12/the-kindness-of-strangers-i-was-homeless-and-addicted-to-heroin-joanne-saved-my-life,australia news | the guardian,angela williams as told to katie cunningham,"the kindness of strangers: i was homeless and addicted to heroin. joanne saved my life 

 ",155,lifestyle,0.5373403429985046,1,412
2025-05-12,‘not a single person shied away’: how a year chronicling end-of-life stories changed one photographer,nil,https://i.guim.co.uk/img/media/487ddbd66bf140c419fd06ad599bcfd39d389d62/623_0_4800_3840/master/4800.jpg?width=460&amp;quality=85&amp;auto=format&amp;fit=max&amp;s=969ce47360c2bcee1beb63b79f1678fa,2025-05-12 1:00 AM,https://www.theguardian.com/artanddesign/2025/may/12/not-a-single-person-shied-away-how-a-year-chronicling-end-of-life-stories-changed-one-photographer,australia news | the guardian,andrew stafford,"‘not a single person shied away’: how a year chronicling end-of-life stories changed one photographer 

 ",156,lifestyle,0.48811548948287964,1,412
2025-05-12,gina episode 7: mythmaking - podcast,nil,https://i.guim.co.uk/img/media/606ce854eda27ec57eb2256f4f069739811377ed/313_0_1875_1500/master/1875.jpg?width=460&amp;quality=85&amp;auto=format&amp;fit=max&amp;s=d244c457349c6ed1480f4f465400236c,2025-05-12 1:00 AM,https://www.theguardian.com/australia-news/audio/2025/may/12/gina-episode-7-mythmaking-full-story-podcast,australia news | the guardian,"presented by sarah martin. series producer joe koning. additional production by jess hamilton, camilla hannan and luca ittimani. executive producer shelley hepworth. the head of audio is miles martignoni","gina episode 7: mythmaking - podcast 

 ",157,music,0.5177018642425537,1,412
2025-05-12,australia’s rental crisis is not what you think it is,nil,https://i.guim.co.uk/img/media/b794bce44da294530fa217b8531e8523524b2d98/876_0_4386_3509/master/4386.jpg?width=460&amp;quality=85&amp;auto=format&amp;fit=max&amp;s=178a5b580eefdd003a375b840aa9edd3,2025-05-12 1:00 AM,https://www.theguardian.com/australia-news/2025/may/12/australias-rental-crisis-is-not-what-you-think-it-is,australia news | the guardian,patrick commins,"australia’s rental crisis is not what you think it is 

 ",158,politics,0.5336802005767822,1,412
2025-05-12,thank you for letting us make you rich: claims of ‘bizarre’ culture in gina rinehart’s company,nil,https://i.guim.co.uk/img/media/485485789037cb1974dd7f51c34ffa88e20cf288/10_6_2490_1494/master/2490.jpg?width=460&amp;quality=85&amp;auto=format&amp;fit=max&amp;s=db1c79f0a59a348d26fd981c57068dae,2025-05-12 1:00 AM,https://www.theguardian.com/australia-news/2025/may/12/gina-rinehart-hancock-prospecting-insiders-company-culture-ntwnfb,australia news | the guardian,sarah martin,"thank you for letting us make you rich: claims of ‘bizarre’ culture in gina rinehart’s company 

 ",159,music,0.5380808711051941,1,412
2025-05-12,teen serious after spending an hour submerged underneath crashed car,"seven others, including six teenagers, were unhurt in the accident.",https://images.7news.com.au/publication/C-18659120/948a3e023c54d958f1b5a7c1cd6ab5339dc2b34e-16x9-x177y0w903h508.png,2025-05-12 1:24 AM,https://7news.com.au/news/teen-serious-after-spending-an-hour-submerged-underneath-crashed-car-c-18659120,7news.com.au,james polson,"teen serious after spending an hour submerged underneath crashed car 

 seven others, including six teenagers, were unhurt in the accident.",160,lifestyle,0.5528560876846313,1,412
2025-05-12,2026 skoda enyaq rs: facelift revealed for hottest variant,"as expected, the skoda enyaq rs has gained an updated front end design with split headlights and a less prominent fake grille.",https://images.7news.com.au/publication/C-18658949/582c4ecd4e019396e9c4794ab9d3752870806e7e-16x9-x0y120w2315h1302.jpg,2025-05-12 12:39 AM,https://7news.com.au/motoring/2026-skoda-enyaq-rs-facelift-revealed-for-hottest-variant-c-18658949,7news.com.au,derek fung,"2026 skoda enyaq rs: facelift revealed for hottest variant 

 as expected, the skoda enyaq rs has gained an updated front end design with split headlights and a less prominent fake grille.",161,sports,0.5525100231170654,1,412
2025-05-12,floods kill more than 100 in eastern congo,"the flooding, which affected the village of kasaba, comes at a vulnerable moment for the central african nation. ",https://images.7news.com.au/publication/C-18658045/618385939619cb962253ee15753dbc436d7479e4-16x9-x0y0w1280h720.jpg,2025-05-12 12:32 AM,https://7news.com.au/news/floods-kill-more-than-100-in-eastern-congo-c-18658045,7news.com.au,crispin kyala and ange kasongo,"floods kill more than 100 in eastern congo 

 the flooding, which affected the village of kasaba, comes at a vulnerable moment for the central african nation. ",162,politics,0.5179604887962341,1,412
2025-05-12,no more war': pope uses first blessing to call for peace in ukraine and gaza,leo’s first sunday address before tens of thousands coincided with a pilgrimage by marching bands from around the world.,https://images.7news.com.au/publication/C-18651016/2eb22c74df582e1a80beac0317b501f117e9b268-16x9-x0y0w1280h720.jpg,2025-05-12 12:16 AM,https://7news.com.au/news/no-more-war-pope-uses-first-blessing-to-call-for-peace-in-ukraine-and-gaza-c-18651016,7news.com.au,"joshua mcelwee, philip pullella and keith weir","no more war': pope uses first blessing to call for peace in ukraine and gaza 

 leo’s first sunday address before tens of thousands coincided with a pilgrimage by marching bands from around the world.",163,politics,0.5272979140281677,0,32
2025-05-12,lower prices to hit shelves at woolworths,"woolworths has announced it has lowered prices on almost 400 products, including household staples, amid cost-of-living pressures.",https://content.api.news/v3/images/bin/24d2dc29ed0a5c12d3b715cc8a53bf0d?width=320,2025-05-12 12:07 AM,https://www.news.com.au/lifestyle/food/drink/woolworths-slashes-prices-on-popular-staples/news-story/7d30ffd1a6d43262d72329a2d3d4e57e?from=rss-basic,rss news.com.au — australia’s #1 news site | national news,nil,"lower prices to hit shelves at woolworths 

 woolworths has announced it has lowered prices on almost 400 products, including household staples, amid cost-of-living pressures.",164,finance,0.5094662308692932,1,412
2025-05-12,‘that thing’s gotta come out’: bindi irwin misses steve irwin gala to undergo surgery,her mum terri also missed the event to be by her side.,https://images.7news.com.au/publication/C-18657090/5d971e9fba74871f49d909199ca492a3a75c7749-16x9-x0y40w1080h608.jpg,2025-05-11 10:27 PM,https://7news.com.au/news/that-things-gotta-come-out-bindi-irwin-misses-steve-irwin-gala-to-undergo-surgery-c-18657090,7news.com.au,digital staff,"‘that thing’s gotta come out’: bindi irwin misses steve irwin gala to undergo surgery 

 her mum terri also missed the event to be by her side.",165,music,0.5878629684448242,1,412
